make,model,year,transmission,drive,date_range,fuel_type_summary,class_summary,cylinders,displ,co2,barrels08,fuelCost08,comb08,highway08,city08
Acura,NSX,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.528333333333336,3250,18,22,15
Acura,NSX,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,16.528333333333336,3250,18,22,15
BMW,M Coupe,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,15.65842105263158,3050,19,23,17
BMW,Z3 Coupe,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050,19,24,17
BMW,Z3 Coupe,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050,19,24,17
BMW,Z3 Roadster,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.65842105263158,3050,19,24,17
BMW,Z3 Roadster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2900,20,25,17
BMW,Z3 Roadster,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050,19,24,17
BMW,Z3 Roadster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050,19,24,17
BMW,Z8,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.9,-1,19.834,3900,15,19,12
Chevrolet,Corvette,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.7,-1,16.528333333333336,3250,18,23,15
Chevrolet,Corvette,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.7,-1,15.65842105263158,3050,19,25,16
Dodge,Viper Convertible,2000,Manual,2WD,2000-2010,Gas,Car,10.0,8.0,-1,21.250714285714285,4150,14,19,11
Dodge,Viper Coupe,2000,Manual,2WD,2000-2010,Gas,Car,10.0,8.0,-1,21.250714285714285,4150,14,19,11
Ferrari,360 Modena/Spider,2000,Manual,2WD,2000-2010,Gas,Car,8.0,3.6,-1,27.04636363636364,5300,11,15,10
Ferrari,360 Modena/Spider,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,3.6,-1,27.04636363636364,5300,11,15,10
Ferrari,550 Maranello,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.5,-1,33.05666666666667,6500,9,12,8
Honda,Insight,2000,Manual,2WD,2000-2010,Gas,Car,3.0,1.0,-1,5.613396226415095,850,53,61,49
Honda,S2000,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.8755,2900,20,23,18
Lotus,Esprit V8,2000,Manual,2WD,2000-2010,Gas,Car,8.0,3.5,-1,18.594375,3650,16,21,14
Mazda,MX-5 Miata,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.52318181818182,2000,22,25,20
Mazda,MX-5 Miata,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,1850,24,27,22
Mazda,MX-5 Miata,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,1900,23,26,21
Mercedes-Benz,SL500,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.0,-1,17.500588235294117,3450,17,21,14
Mercedes-Benz,SL600,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,6.0,-1,21.250714285714285,4150,14,18,12
Mercedes-Benz,SLK230 Kompressor,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.3,-1,13.52318181818182,2650,22,27,20
Mercedes-Benz,SLK230 Kompressor,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.3,-1,13.52318181818182,2650,22,28,19
Plymouth,Prowler,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,16.528333333333336,3250,18,21,15
Porsche,Boxster,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.7,-1,16.528333333333336,3250,18,23,16
Porsche,Boxster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.7,-1,14.8755,2900,20,25,17
Porsche,Boxster S,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,17.500588235294117,3450,17,22,15
Porsche,Boxster S,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,16.528333333333336,3250,18,23,16
Toyota,MR2,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,1850,24,27,22
Aston Martin,DB-7 Vantage Coupe,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,5.9,-1,24.7925,4850,12,17,10
Aston Martin,DB-7 Vantage Coupe,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.9,-1,24.7925,4850,12,17,10
Aston Martin,DB-7 Vantage Volante,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,5.9,-1,24.7925,4850,12,17,10
Aston Martin,DB-7 Vantage Volante,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.9,-1,24.7925,4850,12,17,10
Audi,TT Coupe,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,2550,23,29,19
Audi,TT Coupe quattro,2000,Manual,4WD,2000-2010,Gas,Car,4.0,1.8,-1,14.167142857142858,2800,21,26,18
BMW,323i Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,16.528333333333336,3250,18,22,16
BMW,323i Convertible,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.65842105263158,3050,19,23,17
BMW,M Roadster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,15.65842105263158,3050,19,23,17
Jaguar,XK8 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,16.528333333333336,3250,18,22,15
Jaguar,XKR Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,17.500588235294117,3450,17,20,14
Mercedes-Benz,CLK320 (Cabriolet),2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,14.8755,2900,20,25,17
Mercedes-Benz,CLK430 (Cabriolet),2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.3,-1,16.528333333333336,3250,18,22,15
Porsche,911 Carrera,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.4,-1,16.528333333333336,3250,18,23,15
Porsche,911 Carrera,2000,Automatic,4WD,2000-2010,Gas,Car,6.0,3.4,-1,17.500588235294117,3450,17,22,15
Porsche,911 Carrera,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.4,-1,16.528333333333336,3250,18,23,15
Porsche,911 Carrera,2000,Manual,4WD,2000-2010,Gas,Car,6.0,3.4,-1,17.500588235294117,3450,17,22,15
Qvale,Detomaso Mangusta,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.6,-1,14.167142857142858,2100,21,28,17
Acura,Integra,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,1900,23,28,21
Acura,Integra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,1850,24,28,22
Acura,Integra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,2450,24,28,22
Bentley,Azure,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,24.7925,4850,12,15,10
Bentley,Continental SC,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,24.7925,4850,12,15,10
Bentley,Continental T,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,24.7925,4850,12,15,10
BMW,323ci,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.65842105263158,3050,19,25,17
BMW,323ci,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2800,21,26,18
BMW,328ci,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050,19,25,16
BMW,328ci,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,14.167142857142858,2800,21,26,18
Chevrolet,Camaro,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.8755,2200,20,26,17
Chevrolet,Camaro,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.167142857142858,2100,21,28,17
Chevrolet,Camaro,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.7,-1,16.528333333333336,3250,18,23,15
Chevrolet,Camaro,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.7,-1,15.65842105263158,3050,19,25,16
Chevrolet,Cavalier,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,13.52318181818182,2000,22,26,20
Chevrolet,Cavalier,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.935217391304349,1900,23,29,20
Chevrolet,Cavalier,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.39625,1850,24,31,21
Chevrolet,Cavalier,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900,23,28,19
