make,model,year,transmission,drive,date_range,fuel_type_summary,class_summary,cylinders,displ,co2,barrels08,fuelCost08
Acura,NSX,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,16.528333333333336,3250
Acura,NSX,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,16.528333333333336,3250
BMW,M Coupe,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,15.65842105263158,3050
BMW,Z3 Coupe,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050
BMW,Z3 Coupe,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050
BMW,Z3 Roadster,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.65842105263158,3050
BMW,Z3 Roadster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2900
BMW,Z3 Roadster,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050
BMW,Z3 Roadster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050
BMW,Z8,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.9,-1,19.834,3900
Chevrolet,Corvette,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.7,-1,16.528333333333336,3250
Chevrolet,Corvette,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.7,-1,15.65842105263158,3050
Dodge,Viper Convertible,2000,Manual,2WD,2000-2010,Gas,Car,10.0,8.0,-1,21.250714285714285,4150
Dodge,Viper Coupe,2000,Manual,2WD,2000-2010,Gas,Car,10.0,8.0,-1,21.250714285714285,4150
Ferrari,360 Modena/Spider,2000,Manual,2WD,2000-2010,Gas,Car,8.0,3.6,-1,27.04636363636364,5300
Ferrari,360 Modena/Spider,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,3.6,-1,27.04636363636364,5300
Ferrari,550 Maranello,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.5,-1,33.05666666666667,6500
Honda,Insight,2000,Manual,2WD,2000-2010,Gas,Car,3.0,1.0,-1,5.613396226415095,850
Honda,S2000,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.8755,2900
Lotus,Esprit V8,2000,Manual,2WD,2000-2010,Gas,Car,8.0,3.5,-1,18.594375,3650
Mazda,MX-5 Miata,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.52318181818182,2000
Mazda,MX-5 Miata,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,1850
Mazda,MX-5 Miata,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,1900
Mercedes-Benz,SL500,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.0,-1,17.500588235294117,3450
Mercedes-Benz,SL600,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,6.0,-1,21.250714285714285,4150
Mercedes-Benz,SLK230 Kompressor,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.3,-1,13.52318181818182,2650
Mercedes-Benz,SLK230 Kompressor,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.3,-1,13.52318181818182,2650
Plymouth,Prowler,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.5,-1,16.528333333333336,3250
Porsche,Boxster,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.7,-1,16.528333333333336,3250
Porsche,Boxster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.7,-1,14.8755,2900
Porsche,Boxster S,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,17.500588235294117,3450
Porsche,Boxster S,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,16.528333333333336,3250
Toyota,MR2,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,1850
Aston Martin,DB-7 Vantage Coupe,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,5.9,-1,24.7925,4850
Aston Martin,DB-7 Vantage Coupe,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.9,-1,24.7925,4850
Aston Martin,DB-7 Vantage Volante,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,5.9,-1,24.7925,4850
Aston Martin,DB-7 Vantage Volante,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.9,-1,24.7925,4850
Audi,TT Coupe,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,2550
Audi,TT Coupe quattro,2000,Manual,4WD,2000-2010,Gas,Car,4.0,1.8,-1,14.167142857142858,2800
BMW,323i Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,16.528333333333336,3250
BMW,323i Convertible,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.65842105263158,3050
BMW,M Roadster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,15.65842105263158,3050
Jaguar,XK8 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,16.528333333333336,3250
Jaguar,XKR Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,17.500588235294117,3450
Mercedes-Benz,CLK320 (Cabriolet),2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,14.8755,2900
Mercedes-Benz,CLK430 (Cabriolet),2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.3,-1,16.528333333333336,3250
Porsche,911 Carrera,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.4,-1,16.528333333333336,3250
Porsche,911 Carrera,2000,Automatic,4WD,2000-2010,Gas,Car,6.0,3.4,-1,17.500588235294117,3450
Porsche,911 Carrera,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.4,-1,16.528333333333336,3250
Porsche,911 Carrera,2000,Manual,4WD,2000-2010,Gas,Car,6.0,3.4,-1,17.500588235294117,3450
Qvale,Detomaso Mangusta,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.6,-1,14.167142857142858,2100
Acura,Integra,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,1900
Acura,Integra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,1850
Acura,Integra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,2450
Bentley,Azure,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,24.7925,4850
Bentley,Continental SC,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,24.7925,4850
Bentley,Continental T,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,24.7925,4850
BMW,323ci,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.65842105263158,3050
BMW,323ci,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2800
BMW,328ci,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050
BMW,328ci,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,14.167142857142858,2800
Chevrolet,Camaro,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.8755,2200
Chevrolet,Camaro,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.167142857142858,2100
Chevrolet,Camaro,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.7,-1,16.528333333333336,3250
Chevrolet,Camaro,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.7,-1,15.65842105263158,3050
Chevrolet,Cavalier,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,13.52318181818182,2000
Chevrolet,Cavalier,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.935217391304349,1900
Chevrolet,Cavalier,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.39625,1850
Chevrolet,Cavalier,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900
Chevrolet,Cavalier,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.39625,1850
Chevrolet,Metro,2000,Manual,2WD,2000-2010,Gas,Car,3.0,1.0,-1,8.264166666666668,1200
Chevrolet,Metro,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.3,-1,10.625357142857142,1600
Chevrolet,Metro,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.3,-1,8.750294117647059,1300
Ferrari,456 MGT/MGA,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,5.5,-1,27.04636363636364,5300
Ferrari,456 MGT/MGA,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.5,-1,27.04636363636364,5300
Ford,Escort ZX2,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750
Ford,Escort ZX2,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750
Ford,Mustang,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.8755,2200
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.167142857142858,2100
Ford,Mustang,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,16.528333333333336,2450
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.6,-1,16.528333333333336,2450
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.6,-1,16.528333333333336,3250
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.4,-1,21.250714285714285,4150
Honda,Civic,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.018888888888888,1650
