,make,model,year,cylinders,trany,displ,VClass,co2,barrels08,fuelCost08,fuelType,highway08,city08,comb08
0,Acura,NSX,2000.0,6.0,Automatic 4-spd,3.0,Two Seaters,-1.0,16.52833333,3250.0,Premium,22.0,15.0,18.0
1,Acura,NSX,2000.0,6.0,Manual 6-spd,3.2,Two Seaters,-1.0,16.52833333,3250.0,Premium,22.0,15.0,18.0
2,BMW,M Coupe,2000.0,6.0,Manual 5-spd,3.2,Two Seaters,-1.0,15.65842105,3050.0,Premium,23.0,17.0,19.0
3,BMW,Z3 Coupe,2000.0,6.0,Automatic 4-spd,2.8,Two Seaters,-1.0,15.65842105,3050.0,Premium,24.0,17.0,19.0
4,BMW,Z3 Coupe,2000.0,6.0,Manual 5-spd,2.8,Two Seaters,-1.0,15.65842105,3050.0,Premium,24.0,17.0,19.0
5,BMW,Z3 Roadster,2000.0,6.0,Automatic 4-spd,2.5,Two Seaters,-1.0,15.65842105,3050.0,Premium,24.0,17.0,19.0
6,BMW,Z3 Roadster,2000.0,6.0,Manual 5-spd,2.5,Two Seaters,-1.0,14.8755,2900.0,Premium,25.0,17.0,20.0
7,BMW,Z3 Roadster,2000.0,6.0,Automatic 4-spd,2.8,Two Seaters,-1.0,15.65842105,3050.0,Premium,24.0,17.0,19.0
8,BMW,Z3 Roadster,2000.0,6.0,Manual 5-spd,2.8,Two Seaters,-1.0,15.65842105,3050.0,Premium,24.0,17.0,19.0
9,BMW,Z8,2000.0,8.0,Manual 6-spd,4.9,Two Seaters,-1.0,19.834,3900.0,Premium,19.0,12.0,15.0
10,Chevrolet,Corvette,2000.0,8.0,Automatic 4-spd,5.7,Two Seaters,-1.0,16.52833333,3250.0,Premium,23.0,15.0,18.0
11,Chevrolet,Corvette,2000.0,8.0,Manual 6-spd,5.7,Two Seaters,-1.0,15.65842105,3050.0,Premium,25.0,16.0,19.0
12,Dodge,Viper Convertible,2000.0,10.0,Manual 6-spd,8.0,Two Seaters,-1.0,21.25071429,4150.0,Premium,19.0,11.0,14.0
13,Dodge,Viper Coupe,2000.0,10.0,Manual 6-spd,8.0,Two Seaters,-1.0,21.25071429,4150.0,Premium,19.0,11.0,14.0
14,Ferrari,360 Modena/Spider,2000.0,8.0,Manual 6-spd,3.6,Two Seaters,-1.0,27.04636364,5300.0,Premium,15.0,10.0,11.0
15,Ferrari,360 Modena/Spider,2000.0,8.0,Automatic (S6),3.6,Two Seaters,-1.0,27.04636364,5300.0,Premium,15.0,10.0,11.0
16,Ferrari,550 Maranello,2000.0,12.0,Manual 6-spd,5.5,Two Seaters,-1.0,33.05666667,6500.0,Premium,12.0,8.0,9.0
17,Honda,Insight,2000.0,3.0,Manual 5-spd,1.0,Two Seaters,-1.0,5.613396226,850.0,Regular,61.0,49.0,53.0
18,Honda,S2000,2000.0,4.0,Manual 6-spd,2.0,Two Seaters,-1.0,14.8755,2900.0,Premium,23.0,18.0,20.0
19,Lotus,Esprit V8,2000.0,8.0,Manual 5-spd,3.5,Two Seaters,-1.0,18.594375,3650.0,Premium,21.0,14.0,16.0
20,Mazda,MX-5 Miata,2000.0,4.0,Automatic 4-spd,1.8,Two Seaters,-1.0,13.52318182,2000.0,Regular,25.0,20.0,22.0
21,Mazda,MX-5 Miata,2000.0,4.0,Manual 5-spd,1.8,Two Seaters,-1.0,12.39625,1850.0,Regular,27.0,22.0,24.0
22,Mazda,MX-5 Miata,2000.0,4.0,Manual 6-spd,1.8,Two Seaters,-1.0,12.93521739,1900.0,Regular,26.0,21.0,23.0
23,Mercedes-Benz,SL500,2000.0,8.0,Automatic 5-spd,5.0,Two Seaters,-1.0,17.50058824,3450.0,Premium,21.0,14.0,17.0
24,Mercedes-Benz,SL600,2000.0,12.0,Automatic 5-spd,6.0,Two Seaters,-1.0,21.25071429,4150.0,Premium,18.0,12.0,14.0
25,Mercedes-Benz,SLK230 Kompressor,2000.0,4.0,Automatic 5-spd,2.3,Two Seaters,-1.0,13.52318182,2650.0,Premium,27.0,20.0,22.0
26,Mercedes-Benz,SLK230 Kompressor,2000.0,4.0,Manual 5-spd,2.3,Two Seaters,-1.0,13.52318182,2650.0,Premium,28.0,19.0,22.0
27,Plymouth,Prowler,2000.0,6.0,Automatic 4-spd,3.5,Two Seaters,-1.0,16.52833333,3250.0,Premium,21.0,15.0,18.0
28,Porsche,Boxster,2000.0,6.0,Automatic 5-spd,2.7,Two Seaters,-1.0,16.52833333,3250.0,Premium,23.0,16.0,18.0
29,Porsche,Boxster,2000.0,6.0,Manual 5-spd,2.7,Two Seaters,-1.0,14.8755,2900.0,Premium,25.0,17.0,20.0
30,Porsche,Boxster S,2000.0,6.0,Automatic 5-spd,3.2,Two Seaters,-1.0,17.50058824,3450.0,Premium,22.0,15.0,17.0
31,Porsche,Boxster S,2000.0,6.0,Manual 6-spd,3.2,Two Seaters,-1.0,16.52833333,3250.0,Premium,23.0,16.0,18.0
32,Toyota,MR2,2000.0,4.0,Manual 5-spd,1.8,Two Seaters,-1.0,12.39625,1850.0,Regular,27.0,22.0,24.0
33,Aston Martin,DB-7 Vantage Coupe,2000.0,12.0,Automatic 5-spd,5.9,Minicompact Cars,-1.0,24.7925,4850.0,Premium,17.0,10.0,12.0
34,Aston Martin,DB-7 Vantage Coupe,2000.0,12.0,Manual 6-spd,5.9,Minicompact Cars,-1.0,24.7925,4850.0,Premium,17.0,10.0,12.0
35,Aston Martin,DB-7 Vantage Volante,2000.0,12.0,Automatic 5-spd,5.9,Minicompact Cars,-1.0,24.7925,4850.0,Premium,17.0,10.0,12.0
36,Aston Martin,DB-7 Vantage Volante,2000.0,12.0,Manual 6-spd,5.9,Minicompact Cars,-1.0,24.7925,4850.0,Premium,17.0,10.0,12.0
37,Audi,TT Coupe,2000.0,4.0,Manual 5-spd,1.8,Minicompact Cars,-1.0,12.93521739,2550.0,Premium,29.0,19.0,23.0
38,Audi,TT Coupe quattro,2000.0,4.0,Manual 5-spd,1.8,Minicompact Cars,-1.0,14.16714286,2800.0,Premium,26.0,18.0,21.0
39,BMW,323i Convertible,2000.0,6.0,Automatic 5-spd,2.5,Minicompact Cars,-1.0,16.52833333,3250.0,Premium,22.0,16.0,18.0
40,BMW,323i Convertible,2000.0,6.0,Manual 5-spd,2.5,Minicompact Cars,-1.0,15.65842105,3050.0,Premium,23.0,17.0,19.0
41,BMW,M Roadster,2000.0,6.0,Manual 5-spd,3.2,Minicompact Cars,-1.0,15.65842105,3050.0,Premium,23.0,17.0,19.0
42,Jaguar,XK8 Convertible,2000.0,8.0,Automatic 5-spd,4.0,Minicompact Cars,-1.0,16.52833333,3250.0,Premium,22.0,15.0,18.0
43,Jaguar,XKR Convertible,2000.0,8.0,Automatic 5-spd,4.0,Minicompact Cars,-1.0,17.50058824,3450.0,Premium,20.0,14.0,17.0
44,Mercedes-Benz,CLK320 (Cabriolet),2000.0,6.0,Automatic 5-spd,3.2,Minicompact Cars,-1.0,14.8755,2900.0,Premium,25.0,17.0,20.0
45,Mercedes-Benz,CLK430 (Cabriolet),2000.0,8.0,Automatic 5-spd,4.3,Minicompact Cars,-1.0,16.52833333,3250.0,Premium,22.0,15.0,18.0
46,Porsche,911 Carrera,2000.0,6.0,Automatic 5-spd,3.4,Minicompact Cars,-1.0,16.52833333,3250.0,Premium,23.0,15.0,18.0
47,Porsche,911 Carrera,2000.0,6.0,Automatic 5-spd,3.4,Minicompact Cars,-1.0,17.50058824,3450.0,Premium,22.0,15.0,17.0
48,Porsche,911 Carrera,2000.0,6.0,Manual 6-spd,3.4,Minicompact Cars,-1.0,16.52833333,3250.0,Premium,23.0,15.0,18.0
49,Porsche,911 Carrera,2000.0,6.0,Manual 6-spd,3.4,Minicompact Cars,-1.0,17.50058824,3450.0,Premium,22.0,15.0,17.0
50,Qvale,Detomaso Mangusta,2000.0,8.0,Manual 5-spd,4.6,Minicompact Cars,-1.0,14.16714286,2100.0,Regular,28.0,17.0,21.0
