iter	MAE	RMSE
0	0.6464396533	0.7954003128
5	0.5953303887	0.7357014356
10	0.5589370867	0.6937194622
15	0.5333523357	0.6642958553
20	0.5146241406	0.6432980369
25	0.499861548	0.6268505153
30	0.4886105368	0.6145110353
35	0.4800130144	0.6052967607
40	0.4727762823	0.5976027678
45	0.4663477495	0.5908945804
50	0.4613308409	0.5857127748
55	0.4565829542	0.5809040779
60	0.4531794571	0.5772367901
65	0.4498474539	0.5737895929
70	0.4472769645	0.5711198686
75	0.4447558709	0.5684760417
80	0.4428226867	0.566366588
85	0.4410937788	0.5645580866
90	0.4396266464	0.5630123471
95	0.4382953109	0.5615714507
100	0.4369816761	0.5602062646
105	0.4357254576	0.558934217
110	0.4346819232	0.5577421105
115	0.4337268365	0.5567456456
120	0.432864125	0.5558278347
125	0.4319945821	0.5548541015
130	0.4313174228	0.5540334793
135	0.4306320216	0.5533043958
140	0.4299798921	0.5526028289
145	0.4293901019	0.5519966784
150	0.4289093365	0.5514554908
155	0.4283192145	0.550757419
160	0.4279023926	0.5503110628
165	0.4275280798	0.5498702794
170	0.42690228	0.5491540765
175	0.4265014716	0.5486462551
180	0.4260818286	0.5481197985
185	0.4257658173	0.5477501927
190	0.4253540566	0.5472505698
195	0.4250327904	0.5468556965
199	0.424774389	0.5465477852
