iter	MAE	RMSE
0	0.6468629746	0.7969810166
5	0.5961697852	0.7371604765
10	0.5603423499	0.6953674027
15	0.5349169598	0.666452487
20	0.5158720343	0.6450515825
25	0.5013648283	0.6290213658
30	0.4900463336	0.6164358225
35	0.4812470794	0.6070464057
40	0.4739581858	0.5992959855
45	0.4674968515	0.5925790324
50	0.4628231414	0.587598459
55	0.4582569625	0.5828854674
60	0.4545705321	0.5789568001
65	0.4515284042	0.5757623451
70	0.4487559065	0.5728770494
75	0.4463938419	0.5704217886
80	0.4441999608	0.5681857614
85	0.4424599623	0.5663647323
90	0.4409608305	0.5647841262
95	0.4394642709	0.5631963833
100	0.4380529231	0.5617708273
105	0.4369780807	0.5606320152
110	0.4358749449	0.5593818257
115	0.4349632524	0.5583502463
120	0.4340266684	0.5573208764
125	0.4332937245	0.5565316475
130	0.4325942458	0.5557563518
135	0.4318783941	0.5549819914
140	0.4312905399	0.5543533477
145	0.4307939546	0.55380028
150	0.4302710949	0.5531679685
155	0.4297874532	0.5526365859
160	0.4291511159	0.5519462966
165	0.4287149893	0.5514610578
170	0.4282724462	0.5509543085
175	0.4278721909	0.5505159744
180	0.427427131	0.5499849965
185	0.4270122727	0.5494733878
190	0.4266047713	0.5490611232
195	0.4263712338	0.5487649828
199	0.4260637132	0.5483786644
