iter	Passed	Remaining
0	85	16938
1	177	17568
2	261	17162
3	364	17845
4	431	16821
5	535	17310
6	620	17121
7	721	17322
8	805	17096
9	891	16929
10	957	16459
11	1060	16608
12	1125	16195
13	1237	16434
14	1323	16317
15	1410	16217
16	1513	16294
17	1580	15984
18	1686	16061
19	1787	16089
20	1891	16124
21	1977	16001
22	2079	15999
23	2165	15880
24	2264	15852
25	2353	15753
26	2456	15741
27	2547	15651
28	2651	15631
29	2719	15409
30	2806	15302
31	2906	15257
32	3007	15220
33	3110	15186
34	3201	15092
35	3269	14895
36	3369	14846
37	3456	14735
38	3541	14620
39	3643	14574
40	3750	14544
41	3856	14509
42	3947	14414
43	4022	14261
44	4112	14163
45	4220	14131
46	4347	14153
47	4459	14122
48	4586	14134
49	4707	14122
50	4832	14117
51	4940	14060
52	5042	13985
53	5132	13875
54	5238	13809
55	5345	13744
56	5454	13685
57	5557	13605
58	5667	13543
59	5774	13473
60	5865	13365
61	5973	13295
62	6065	13189
63	6157	13084
64	6269	13021
65	6373	12939
66	6481	12866
67	6587	12787
68	6691	12704
69	6803	12634
70	6891	12521
71	6996	12437
72	7102	12356
73	7213	12282
74	7304	12174
75	7415	12098
76	7519	12011
77	7630	11935
78	7703	11799
79	7809	11713
80	7911	11623
81	8000	11512
82	8106	11427
83	8198	11321
84	8303	11233
85	8408	11145
86	8501	11042
87	8579	10919
88	8674	10818
89	8776	10726
90	8885	10643
91	8989	10552
92	9099	10469
93	9191	10364
94	9283	10260
95	9394	10177
96	9500	10087
97	9591	9983
98	9700	9896
99	9808	9808
100	9917	9720
101	10026	9632
102	10102	9513
103	10179	9396
104	10310	9328
105	10426	9245
106	10502	9128
107	10618	9045
108	10737	8963
109	10841	8869
110	10943	8774
111	11035	8670
112	11141	8577
113	11229	8471
114	11341	8382
115	11432	8278
116	11540	8186
117	11643	8091
118	11747	7996
119	11845	7896
120	11951	7803
121	12045	7701
122	12155	7609
123	12264	7516
124	12369	7421
125	12479	7329
126	12584	7233
127	12686	7136
128	12790	7039
129	12890	6941
130	12993	6844
131	13099	6748
132	13198	6648
133	13300	6551
134	13385	6445
135	13470	6339
136	13576	6243
137	13682	6147
138	13784	6049
139	13888	5952
140	13990	5854
141	14094	5756
142	14180	5652
143	14280	5553
144	14348	5442
145	14447	5343
146	14546	5244
147	14658	5150
148	14751	5049
149	14853	4951
150	14954	4852
151	15054	4753
152	15157	4656
153	15263	4559
154	15363	4460
155	15447	4357
156	15554	4260
157	15656	4161
158	15743	4059
159	15844	3961
160	15946	3862
161	16047	3764
162	16132	3662
163	16235	3563
164	16306	3458
165	16404	3360
166	16513	3263
167	16615	3164
168	16720	3067
169	16810	2966
170	16910	2867
171	17010	2769
172	17080	2665
173	17191	2568
174	17296	2470
175	17369	2368
176	17468	2269
177	17552	2169
178	17654	2071
179	17760	1973
180	17850	1873
181	17950	1775
182	18054	1677
183	18158	1578
184	18259	1480
185	18364	1382
186	18437	1281
187	18508	1181
188	18609	1083
189	18680	983
190	18786	885
191	18854	785
192	18954	687
193	19024	588
194	19090	489
195	19197	391
196	19301	293
197	19403	195
198	19508	98
199	19585	0
